,trial,Mean distribution1,Mean distribution1,t-stat,p-value,FN
1,1.0,1.5904406603899284,2.5427426676643603,-1.0542320807941306,0.35124430712130067,1.0
2,2.0,0.7924147868531289,0.9789155154316481,-0.1972102151480166,0.8532786477852208,2.0
3,3.0,0.38323075780456045,1.4180641196867787,-1.1920632746338742,0.2991231531588018,3.0
4,4.0,1.0801717952255336,2.6177700205418906,-1.9929906497193979,0.11704992395716193,4.0
5,5.0,1.0575358674700308,0.9991289149712835,0.10786481923780328,0.9192968803643052,5.0
6,6.0,0.8670411494720929,1.805451743342678,-2.466257831245901,0.06922436111204282,6.0
7,7.0,1.4029567377930963,1.8133465858879816,-0.43084959320615285,0.688779457019592,7.0
8,8.0,0.7128694927323581,1.0274933809142859,-0.26503411930343607,0.804080642045405,8.0
9,9.0,1.3078776527548328,1.9263537921261709,-0.9159959033433968,0.41149622505989697,9.0
10,10.0,0.9946699535361988,1.2891044919192298,-0.3333683565272166,0.7555985987677084,10.0
11,11.0,1.3283878555295994,1.285082645105711,0.04860469016496046,0.9635644125843408,11.0
12,12.0,0.8002487314202517,3.235634823710164,-10.343210975991747,0.000493105271001618,11.0
13,13.0,0.4979210980044447,2.6180662078884693,-1.8982718678021462,0.13049874626407426,12.0
14,14.0,1.3006311907752173,1.8420023449907592,-0.7646918588417847,0.4870772149558034,13.0
15,15.0,0.4416780349189686,1.3205978992629406,-1.613725484773617,0.181885355035446,14.0
16,16.0,0.16470705577629693,1.9916253863310682,-1.9754015517031522,0.11942850473619812,15.0
17,17.0,0.12992881992783964,1.475338627806565,-1.359632119676729,0.24554079810202764,16.0
18,18.0,1.2737676196845709,1.027613125189412,0.28168201755212974,0.792159451534095,17.0
19,19.0,1.0509914049893285,2.4392119938544883,-1.07850134238028,0.34150629230627816,18.0
20,20.0,0.7530122112750156,1.344828828440833,-0.5240312049165843,0.6279517654427436,19.0
21,21.0,-0.17804575175340978,1.2707242855705405,-2.4026289137403074,0.07414465602844081,20.0
22,22.0,-0.014094893645488918,0.8452551132955533,-1.0001485787106175,0.37383718247616177,21.0
23,23.0,2.218133467993871,0.22508629225736074,1.7556705353312023,0.15399312012560287,22.0
24,24.0,1.2573332398810162,2.937879066768593,-1.3406809827325146,0.2510998482995695,23.0
25,25.0,1.3283266480595661,1.326368829796766,0.0017846984714566636,0.9986614770346145,24.0
26,26.0,1.869332404768205,2.481084486920978,-0.7124362668186756,0.5155471634601358,25.0
27,27.0,0.7289185763878537,1.3295727450961732,-0.6252052430035864,0.5657340348249483,26.0
28,28.0,0.37239499505221524,1.593938150534976,-1.2005521805688637,0.2961594544740817,27.0
29,29.0,1.341892644762199,2.8990757151122453,-3.819165067809683,0.018791742982525787,27.0
30,30.0,0.7751685683007596,2.507018771336362,-2.4370332783478874,0.0714366267132869,28.0
31,31.0,1.8295030285840026,2.0132554837914864,-0.2588092450003505,0.8085549697505674,29.0
32,32.0,0.4852095522527713,2.9807486628333475,-2.2254825764470816,0.0900617195268044,30.0
33,33.0,1.4564962476365044,1.9771732972741296,-0.8876206430465358,0.4248947185954391,31.0
34,34.0,0.8882920007117705,2.325152997405183,-1.517781111023652,0.2036764553440265,32.0
35,35.0,0.8693927775696467,2.014698099198202,-1.0681313403835846,0.34563724131262286,33.0
36,36.0,0.7650905431365912,1.0994112932271145,-0.27400944540008115,0.7976453342277217,34.0
37,37.0,1.2013447930112349,2.7182046993937057,-1.121085905964505,0.3250063116744406,35.0
38,38.0,0.6029755869358859,2.0704816529850203,-2.123436600853218,0.10095070576528765,36.0
39,39.0,0.1900317704802279,1.9139724952723929,-3.3057785716960173,0.029771833372651952,36.0
40,40.0,1.013828151762498,2.5268615726944055,-2.3283860373907745,0.08039412273072247,37.0
41,41.0,0.4569923658679375,1.6126657262893127,-1.8020213272780425,0.14589485810172076,38.0
42,42.0,0.484598236150422,2.306078542882623,-3.10242805516114,0.03613595327976521,38.0
43,43.0,0.8648342603252267,2.186134452119591,-1.7911437582885144,0.1477537092550048,39.0
44,44.0,0.8236324585571507,1.8043952402328436,-1.4881026773143071,0.21094484181381384,40.0
45,45.0,1.5027644494592598,1.8564309536207517,-0.3948776000788628,0.7130845201090692,41.0
46,46.0,0.6220686286030147,0.5945371860807859,0.045088418890815364,0.9661980005679993,42.0
47,47.0,1.6833710331298513,1.772446133643877,-0.1063182588867102,0.9204485278633096,43.0
48,48.0,1.841836674127671,1.8748634014805539,-0.11760313278740309,0.9120508732999657,44.0
49,49.0,1.9683179565761701,3.0104947956015025,-0.9345072333721514,0.40294686834855026,45.0
50,50.0,0.8971600969459418,1.954485954679295,-2.2209485551982633,0.09051673404986949,46.0
51,51.0,0.8070040764038744,2.4373518611168543,-2.921113504879646,0.04319537636588666,46.0
52,52.0,1.2110341629427053,2.308937935136363,-1.2158417993513138,0.2908910224839036,47.0
53,53.0,0.24804933455310066,1.5303627696861781,-0.7670651757123477,0.48581292434061707,48.0
54,54.0,0.04164557638111973,1.6550347617097403,-3.131975100524786,0.035118288954617674,48.0
55,55.0,1.4783958543474045,2.0408196211285063,-0.8444274800715552,0.4459759751667165,49.0
56,56.0,1.433947207498182,2.5267909866108216,-1.9759522280946358,0.1193532408476208,50.0
57,57.0,1.9079610328363732,2.6602570175857836,-0.599604610793885,0.5810802573766323,51.0
58,58.0,1.7318520319830402,2.433084846239072,-0.8195352213723098,0.4585026636204675,52.0
59,59.0,2.4835463849574144,2.3190255351463094,0.2835555329379748,0.790822081067059,53.0
60,60.0,1.0319794486762108,1.1249456979391859,-0.06902643685486372,0.9482814967215485,54.0
61,61.0,1.1103973890104244,1.8170642693797945,-0.6132813422097433,0.5728475666660254,55.0
